,p1_len,p2_len,label,p1_len_bin,p2_len_bin
218,480,565,1,500,600
219,974,450,0,1000,450
220,134,577,0,150,600
221,186,375,1,200,400
222,508,505,1,550,550
223,653,186,0,700,200
224,354,67,1,400,100
225,341,408,0,350,450
226,1041,522,1,1050,550
227,233,172,0,250,200
228,2224,349,0,2250,350
229,400,1461,0,400,1500
230,439,2136,1,450,2150
231,270,178,1,300,200
232,95,709,0,100,750
233,404,519,1,450,550
234,196,462,0,200,500
235,429,494,0,450,500
236,382,983,0,400,1000
237,406,1223,1,450,1250
238,766,380,0,800,400
239,424,374,0,450,400
240,96,565,1,100,600
241,1223,1235,1,1250,1250
242,1581,210,1,1600,250
243,258,218,1,300,250
244,609,1150,0,650,1150
245,566,1298,1,600,1300
246,839,399,0,850,400
247,268,389,0,300,400
248,174,128,1,200,150
249,372,2266,0,400,2300
250,372,515,1,400,550
251,95,565,1,100,600
252,860,1670,1,900,1700
253,597,600,1,600,600
254,150,75,0,150,100
255,380,2266,1,400,2300
256,477,461,0,500,500
257,195,1435,0,200,1450
258,631,69,0,650,100
259,105,727,1,150,750
260,1032,1156,0,1050,1200
261,674,417,0,700,450
262,557,139,1,600,150
263,587,280,0,600,300
264,340,172,0,350,200
265,149,1043,0,150,1050
266,2210,270,1,2250,300
267,852,409,1,900,450
268,724,348,0,750,350
269,2177,747,1,2200,750
270,312,492,0,350,500
271,427,1025,0,450,1050
272,199,86,1,200,100
273,349,1235,0,350,1250
274,566,913,1,600,950
275,247,168,1,250,200
276,791,254,0,800,300
277,350,280,1,350,300
278,1939,1976,1,1950,2000
279,536,124,0,550,150
280,1581,2177,1,1600,2200
281,325,236,0,350,250
282,453,715,0,500,750
283,144,113,1,150,150
284,148,972,1,150,1000
285,2548,1008,0,2550,1050
286,538,1944,0,550,1950
287,102,495,1,150,500
288,972,139,1,1000,150
289,172,208,1,200,250
290,881,175,0,900,200
291,1298,600,1,1300,600
292,401,875,0,450,900
293,181,449,0,200,450
294,1304,312,1,1350,350
295,2210,325,0,2250,350
296,175,1508,0,200,1550
297,866,1287,0,900,1300
298,146,804,1,150,850
299,1181,1029,0,1200,1050
300,349,479,0,350,500
301,672,504,0,700,550
302,58,501,0,100,550
303,341,365,1,350,400
304,941,2136,1,950,2150
305,205,709,0,250,750
306,617,359,0,650,400
307,2136,155,1,2150,200
308,437,377,0,450,400
309,566,1378,0,600,1400
310,242,131,1,250,150
311,351,541,1,400,550
312,631,185,0,650,200
313,1032,1313,0,1050,1350
314,921,1006,0,950,1050
315,1475,412,0,1500,450
316,599,1391,1,600,1400
317,184,510,0,200,550
318,591,336,0,600,350
319,249,217,1,250,250
320,201,350,0,250,350
321,557,124,0,600,150
322,280,536,1,300,550
323,394,84,0,400,100
324,703,505,1,750,550
325,369,551,1,400,600
326,427,1298,1,450,1300
327,566,546,1,600,550
328,395,423,0,400,450
329,371,703,0,400,750
330,582,719,0,600,750
331,115,174,1,150,200
332,2210,146,1,2250,150
333,382,176,0,400,200
334,1581,268,1,1600,300
335,923,1338,1,950,1350
336,445,325,1,450,350
337,91,282,1,100,300
338,607,349,1,650,350
339,643,94,0,650,100
340,577,373,0,600,400
341,614,1374,1,650,1400
342,225,424,1,250,450
343,772,430,0,800,450
344,558,1098,0,600,1100
345,604,371,1,650,400
346,1475,741,1,1500,750
347,320,374,1,350,400
348,546,442,1,550,450
349,794,423,0,800,450
350,367,1426,0,400,1450
351,324,755,0,350,800
352,396,890,1,400,900
353,268,141,0,300,150
354,84,475,1,100,500
355,625,163,0,650,200
356,359,254,1,400,300
357,100,211,1,100,250
358,369,1154,1,400,1200
359,553,557,0,600,600
360,58,256,1,100,300
361,298,256,1,300,300
362,380,764,0,400,800
363,163,247,0,200,250
364,1935,197,1,1950,200
365,423,822,1,450,850
366,471,471,0,500,500
367,942,1088,0,950,1100
368,784,906,1,800,950
369,86,522,1,100,550
370,1685,201,0,1700,250
371,318,726,0,350,750
372,323,766,0,350,800
373,324,333,0,350,350
374,747,424,0,750,450
375,388,333,0,400,350
376,200,464,1,200,500
377,558,643,1,600,650
378,780,136,0,800,150
379,353,351,1,400,400
380,94,796,0,100,800
381,95,480,1,100,500
382,150,351,1,150,400
383,95,424,1,100,450
384,822,597,1,850,600
385,454,370,1,500,400
386,500,240,0,500,250
387,396,439,1,400,450
388,962,433,0,1000,450
389,128,399,1,150,400
390,104,412,0,150,450
391,472,206,0,500,250
392,494,235,0,500,250
393,604,1230,1,650,1250
394,357,333,1,400,350
395,353,198,0,400,200
396,1977,2161,1,2000,2200
397,200,178,1,200,200
398,297,640,0,300,650
399,173,707,1,200,750
400,367,258,0,400,300
401,589,261,0,600,300
402,449,607,0,450,650
403,325,921,0,350,950
404,749,184,0,750,200
405,725,502,0,750,550
406,54,626,0,100,650
407,370,1430,1,400,1450
408,298,424,1,300,450
409,1017,339,0,1050,350
410,1304,972,1,1350,1000
411,637,237,1,650,250
412,133,795,0,150,800
413,91,177,1,100,200
414,344,99,0,350,100
415,596,797,0,600,800
416,103,424,1,150,450
417,117,178,1,150,200
418,2012,336,0,2050,350
419,224,765,1,250,800
420,200,1430,0,200,1450
421,320,239,0,350,250
422,2548,1098,1,2550,1100
423,565,139,1,600,150
424,301,972,0,350,1000
425,501,536,0,550,550
426,511,511,1,550,550
427,706,1156,0,750,1200
428,367,70,0,400,100
429,894,736,0,900,750
430,133,84,1,150,100
431,170,184,0,200,200
432,128,155,1,150,200
433,320,341,0,350,350
434,623,423,0,650,450
435,520,290,0,550,300
436,790,553,0,800,600
437,461,1134,0,500,1150
438,502,747,1,550,750
439,1086,365,0,1100,400
440,310,71,1,350,100
441,822,423,1,850,450
442,501,128,1,550,150
443,719,711,1,750,750
444,288,362,1,300,400
445,631,659,1,650,700
446,356,682,1,400,700
447,1032,224,1,1050,250
448,292,557,1,300,600
449,274,461,1,300,500
450,709,103,0,750,150
451,396,536,1,400,550
452,258,315,1,300,350
453,445,113,1,450,150
454,1657,211,0,1700,250
455,166,1430,0,200,1450
456,163,1480,0,200,1500
457,380,1391,1,400,1400
458,1304,683,1,1350,700
459,291,271,1,300,300
460,494,494,1,500,500
461,333,230,0,350,250
462,1153,1203,1,1200,1250
463,120,630,0,150,650
464,146,178,1,150,200
465,1368,178,1,1400,200
466,98,76,1,100,100
467,236,1530,1,250,1550
468,408,532,1,450,550
469,837,622,1,850,650
470,139,282,1,150,300
471,243,254,0,250,300
472,833,778,0,850,800
473,177,866,1,200,900
474,382,256,0,400,300
475,233,444,1,250,450
476,798,825,1,800,850
477,400,466,0,400,500
478,108,529,1,150,550
479,359,164,0,400,200
480,103,96,1,150,100
481,320,144,1,350,150
482,427,565,0,450,600
483,748,348,0,750,350
484,977,708,0,1000,750
485,1368,268,1,1400,300
486,122,348,0,150,350
487,181,366,1,200,400
488,658,425,0,700,450
489,1977,412,0,2000,450
490,744,557,1,750,600
491,213,115,1,250,150
492,258,254,0,300,300
493,670,591,0,700,600
494,201,1298,0,250,1300
495,200,747,1,200,750
496,110,142,1,150,150
497,1977,260,1,2000,300
498,972,259,0,1000,300
499,124,1032,0,150,1050
500,95,282,1,100,300
501,1996,322,0,2000,350
502,417,1461,0,450,1500
503,265,86,0,300,100
504,91,501,1,100,550
505,426,422,0,450,450
506,320,564,1,350,600
507,280,1508,1,300,1550
508,148,322,1,150,350
509,720,2492,0,750,2500
510,68,69,0,100,100
511,1041,110,1,1050,150
512,1475,377,0,1500,400
513,166,197,1,200,200
514,128,475,0,150,500
515,265,449,0,300,450
516,252,494,0,300,500
517,366,488,0,400,500
518,134,184,0,150,200
519,839,158,0,850,200
520,477,171,0,500,200
521,416,598,0,450,600
522,668,403,0,700,450
523,233,348,1,250,350
524,1041,895,1,1050,900
525,148,476,1,150,500
526,913,258,1,950,300
527,748,770,1,750,800
528,268,1382,0,300,1400
529,942,776,0,950,800
530,1584,2325,1,1600,2350
531,380,919,0,400,950
532,167,481,0,200,500
533,132,1461,0,150,1500
534,1335,668,0,1350,700
535,117,268,1,150,300
536,200,211,1,200,250
537,298,1103,0,300,1150
538,372,709,0,400,750
539,513,638,0,550,650
540,406,1093,1,450,1100
541,355,107,1,400,150
542,604,482,1,650,500
543,108,58,1,150,100
544,221,1938,0,250,1950
545,146,445,0,150,450
546,476,241,0,500,250
547,200,1368,1,200,1400
548,200,871,0,200,900
549,334,310,0,350,350
550,258,1382,1,300,1400
551,2266,557,0,2300,600
552,683,1382,0,700,1400
553,2136,330,0,2150,350
554,559,1507,1,600,1550
555,1054,1556,1,1100,1600
556,408,513,1,450,550
557,124,350,0,150,350
558,494,466,0,500,500
559,356,270,0,400,300
560,403,770,1,450,800
561,371,104,1,400,150
562,379,839,0,400,850
563,513,861,0,550,900
564,113,218,1,150,250
565,377,374,0,400,400
566,103,110,1,150,150
567,312,139,1,350,150
568,296,335,0,300,350
569,315,363,1,350,400
570,550,216,1,550,250
571,550,2725,0,550,2750
572,661,673,1,700,700
573,824,185,1,850,200
574,113,325,1,150,350
575,850,115,1,850,150
576,804,833,0,850,850
577,464,142,1,500,150
578,382,476,1,400,500
579,591,764,0,600,800
580,403,326,0,450,350
581,1054,526,0,1100,550
582,2313,519,0,2350,550
583,404,1105,0,450,1150
584,318,350,0,350,350
585,322,1436,1,350,1450
586,380,505,1,400,550
587,719,734,1,750,750
588,676,197,0,700,200
589,139,2136,1,150,2150
590,1756,462,0,1800,500
591,464,424,1,500,450
592,1581,270,1,1600,300
593,382,478,1,400,500
594,322,1060,1,350,1100
595,180,207,0,200,250
596,765,333,0,800,350
597,2210,116,0,2250,150
598,501,110,1,550,150
599,466,483,0,500,500
600,393,154,0,400,200
601,513,952,1,550,1000
602,1208,364,0,1250,400
603,565,800,1,600,800
604,546,731,1,550,750
605,315,564,1,350,600
606,146,427,1,150,450
607,429,1105,1,450,1150
608,1017,415,0,1050,450
609,427,2567,0,450,2600
610,144,110,1,150,150
611,2221,847,0,2250,850
612,1378,604,0,1400,650
613,164,869,0,200,900
614,1826,1105,0,1850,1150
615,977,721,0,1000,750
616,173,234,0,200,250
617,439,972,1,450,1000
618,352,341,1,400,350
619,604,826,1,650,850
620,478,504,1,500,550
621,311,128,0,350,150
622,243,77,0,250,100
623,247,255,0,250,300
624,478,476,1,500,500
625,523,466,0,550,500
626,110,513,1,150,550
627,300,165,0,300,200
628,103,406,0,150,450
629,320,377,0,350,400
630,390,136,0,400,150
631,108,640,0,150,650
632,362,515,0,400,550
633,513,710,1,550,750
634,380,710,0,400,750
635,1475,380,1,1500,400
636,835,671,0,850,700
637,100,175,1,100,200
638,338,1736,1,350,1750
639,913,144,1,950,150
640,428,257,1,450,300
641,236,1938,0,250,1950
642,502,270,1,550,300
643,177,800,1,200,800
644,128,622,0,150,650
645,1041,499,1,1050,500
646,500,359,0,500,400
647,444,362,1,450,400
648,369,314,0,400,350
649,465,2209,0,500,2250
650,508,395,1,550,400
651,158,341,1,200,350
652,84,715,0,100,750
653,956,218,0,1000,250
654,904,840,1,950,850
655,847,2261,0,850,2300
656,85,1944,1,100,1950
657,807,765,0,850,800
658,372,359,1,400,400
659,2221,208,0,2250,250
660,952,403,0,1000,450
661,2492,879,1,2500,900
662,480,683,1,500,700
663,67,360,0,100,400
664,620,822,1,650,850
665,2136,322,1,2150,350
666,91,1849,0,100,1850
667,441,421,0,450,450
668,288,211,1,300,250
669,286,514,0,300,550
670,729,1374,1,750,1400
671,643,339,1,650,350
672,499,199,1,500,200
673,495,216,1,500,250
674,547,736,1,550,750
675,962,796,0,1000,800
676,887,1249,0,900,1250
677,70,264,1,100,300
678,1002,962,1,1050,1000
679,315,1378,0,350,1400
680,564,472,0,600,500
681,341,124,0,350,150
682,91,522,1,100,550
683,824,131,1,850,150
684,156,2136,1,200,2150
685,286,540,0,300,550
686,370,401,0,400,450
687,401,167,0,450,200
688,1304,1041,1,1350,1050
689,513,588,0,550,600
690,631,559,0,650,600
691,1304,110,1,1350,150
692,153,180,0,200,200
693,412,363,0,450,400
694,144,1382,1,150,1400
695,143,1310,0,150,1350
696,1002,844,0,1050,850
697,305,1105,0,350,1150
698,393,770,1,400,800
699,941,142,1,950,150
700,540,424,0,550,450
701,390,465,0,400,500
702,546,860,1,550,900
703,200,465,0,200,500
704,240,2136,1,250,2150
705,64,344,1,100,350
706,77,300,0,100,300
707,142,282,1,150,300
708,310,418,0,350,450
709,1101,266,1,1150,300
710,452,355,0,500,400
711,102,149,0,150,150
712,1403,260,0,1450,300
713,380,1426,0,400,1450
714,472,113,1,500,150
715,913,472,1,950,500
716,935,803,0,950,850
717,2210,502,1,2250,550
718,355,345,0,400,350
719,1310,208,0,1350,250
720,386,492,0,400,500
721,296,308,1,300,350
722,444,270,0,450,300
723,565,674,0,600,700
724,221,846,0,250,850
725,869,504,1,900,550
726,577,390,0,600,400
727,1041,800,1,1050,800
728,104,393,0,150,400
729,342,237,1,350,250
730,1093,1223,1,1100,1250
731,1125,587,0,1150,600
732,696,1996,0,700,2000
733,171,390,0,200,400
734,439,312,1,450,350
735,565,2136,1,600,2150
736,396,895,1,400,900
737,385,372,1,400,400
738,103,155,1,150,200
739,972,2136,1,1000,2150
740,502,524,0,550,550
741,513,144,0,550,150
742,412,683,0,450,700
743,102,550,1,150,550
744,286,333,0,300,350
745,546,1391,1,550,1400
746,2161,687,0,2200,700
747,935,673,0,950,700
748,752,943,0,800,950
749,99,107,1,100,150
750,453,102,1,500,150
751,557,501,1,600,550
752,324,94,0,350,100
753,1556,425,1,1600,450
754,758,370,0,800,400
755,233,255,0,250,300
756,546,1298,1,550,1300
757,320,352,1,350,400
758,952,713,0,1000,750
759,200,1581,1,200,1600
760,850,720,1,850,750
761,670,836,1,700,850
762,155,671,0,200,700
763,371,259,0,400,300
764,171,526,1,200,550
765,861,734,1,900,750
766,237,266,0,250,300
767,99,99,0,100,100
768,179,105,1,200,150
769,1381,396,0,1400,400
770,1194,354,1,1200,400
771,1566,179,0,1600,200
772,482,425,1,500,450
773,861,711,1,900,750
774,160,239,1,200,250
775,129,356,1,150,400
776,333,114,1,350,150
777,143,783,0,150,800
778,385,890,0,400,900
779,394,669,0,400,700
780,146,333,1,150,350
781,805,1009,0,850,1050
782,542,1098,0,550,1100
783,313,1140,1,350,1150
784,349,1651,0,350,1700
785,119,857,0,150,900
786,158,1447,0,200,1450
787,229,295,0,250,300
788,895,464,1,900,500
789,298,168,1,300,200
790,1043,540,0,1050,550
791,259,355,0,300,400
792,615,942,0,650,950
793,1599,465,1,1600,500
794,804,1040,0,850,1050
795,921,437,0,950,450
796,411,233,0,450,250
797,1006,412,1,1050,450
798,1135,921,0,1150,950
799,320,546,0,350,550
800,1534,1378,1,1550,1400
801,1019,269,0,1050,300
802,133,564,1,150,600
803,592,254,0,600,300
804,879,715,0,900,750
805,895,683,1,900,700
806,1208,734,1,1250,750
807,1054,1484,1,1100,1500
808,725,895,0,750,900
809,388,326,0,400,350
810,476,787,0,500,800
811,567,400,0,600,400
812,2925,365,0,2950,400
813,1426,361,1,1450,400
814,887,237,0,900,250
815,449,985,0,450,1000
816,501,312,1,550,350
817,815,795,1,850,800
818,542,418,0,550,450
819,913,113,1,950,150
820,420,467,0,450,500
821,108,764,0,150,800
822,1382,494,0,1400,500
823,105,1043,0,150,1050
824,495,559,1,500,600
825,581,427,0,600,450
826,1290,280,0,1300,300
827,495,520,1,500,550
828,794,314,1,800,350
829,352,431,1,400,450
830,69,380,1,100,400
831,536,709,1,550,750
832,773,154,0,800,200
833,418,598,0,450,600
834,327,796,1,350,800
835,550,1140,1,550,1150
836,735,339,1,750,350
837,296,444,1,300,450
838,658,995,1,700,1000
839,372,344,1,400,350
840,453,919,1,500,950
841,390,380,0,400,400
842,180,350,0,200,350
843,553,529,1,600,550
844,166,198,0,200,200
845,103,1006,0,150,1050
846,620,330,1,650,350
847,197,211,0,200,250
848,159,240,1,200,250
849,597,1507,1,600,1550
850,102,513,0,150,550
851,497,58,0,500,100
852,395,1041,0,400,1050
853,159,1304,1,200,1350
854,434,833,0,450,850
855,439,800,1,450,800
856,144,795,1,150,800
857,677,977,0,700,1000
858,308,254,1,350,300
859,2266,326,1,2300,350
860,103,541,0,150,550
861,520,1507,1,550,1550
862,662,374,0,700,400
863,1512,977,0,1550,1000
864,790,156,1,800,200
865,359,685,0,400,700
866,1304,393,1,1350,400
867,84,84,1,100,100
868,225,2136,1,250,2150
869,104,1944,0,150,1950
870,759,942,1,800,950
871,562,91,0,600,100
872,748,393,1,750,400
873,557,86,1,600,100
874,501,800,1,550,800
875,285,292,1,300,300
876,785,2725,0,800,2750
877,380,423,0,400,450
878,495,372,0,500,400
879,696,492,0,700,500
880,566,1208,1,600,1250
881,1037,480,0,1050,500
882,396,522,1,400,550
883,167,454,0,200,500
884,385,130,0,400,150
885,116,745,0,150,750
886,1241,595,0,1250,600
887,375,359,0,400,400
888,615,1484,0,650,1500
889,67,184,0,100,200
890,348,372,1,350,400
891,359,345,0,400,350
892,333,247,1,350,250
893,322,1391,1,350,1400
894,210,133,1,250,150
895,798,423,1,800,450
896,142,820,1,150,850
897,498,747,0,500,750
898,1484,1043,1,1500,1050
899,327,182,1,350,200
900,441,390,0,450,400
901,828,103,0,850,150
902,444,424,0,450,450
903,972,225,1,1000,250
904,758,327,0,800,350
905,268,542,0,300,550
906,522,424,1,550,450
907,102,1298,1,150,1300
908,157,154,1,200,200
909,800,464,1,800,500
910,402,1378,0,450,1400
911,1227,2136,1,1250,2150
912,1304,895,1,1350,900
913,243,132,0,250,150
914,237,473,0,250,500
915,200,2210,1,200,2250
916,913,564,1,950,600
917,287,1154,0,300,1200
918,546,600,1,550,600
919,270,178,1,300,200
920,380,1748,1,400,1750
921,579,1049,0,600,1050
922,255,364,0,300,400
923,102,559,1,150,600
924,202,1848,0,250,1850
925,895,424,1,900,450
926,382,894,0,400,900
927,824,294,1,850,300
928,2210,464,1,2250,500
929,168,529,1,200,550
930,99,336,0,100,350
931,1133,442,0,1150,450
932,210,58,1,250,100
933,274,578,0,300,600
934,773,461,0,800,500
935,1058,725,0,1100,750
936,69,84,1,100,100
937,566,580,0,600,600
938,67,64,1,100,100
939,668,437,0,700,450
940,941,424,1,950,450
941,1161,1085,0,1200,1100
942,69,128,1,100,150
943,124,71,1,150,100
944,553,69,1,600,100
945,401,417,0,450,450
946,484,2997,0,500,3000
947,505,464,0,550,500
948,95,96,1,100,100
949,1227,972,1,1250,1000
950,1194,2701,0,1200,2750
951,482,826,1,500,850
952,371,351,1,400,400
953,418,815,0,450,850
954,1988,261,0,2000,300
955,453,216,1,500,250
956,261,365,1,300,400
957,334,418,0,350,450
958,103,464,1,150,500
959,86,941,1,100,950
960,1276,350,0,1300,350
961,1041,439,1,1050,450
962,1873,176,0,1900,200
963,539,154,1,550,200
964,790,257,1,800,300
965,95,86,1,100,100
966,1032,237,1,1050,250
967,359,392,0,400,400
968,808,719,1,850,750
969,536,218,0,550,250
970,173,280,0,200,300
971,380,749,0,400,750
972,1977,225,0,2000,250
973,1670,1235,0,1700,1250
974,352,218,1,400,250
975,128,322,1,150,350
976,461,795,0,500,800
977,388,501,1,400,550
978,369,367,1,400,400
979,107,107,1,150,150
980,2177,178,1,2200,200
981,96,424,1,100,450
982,420,464,0,450,500
983,148,513,1,150,550
984,148,358,0,150,400
985,426,406,1,450,450
986,1099,1085,1,1100,1100
987,180,495,0,200,500
988,165,711,0,200,750
989,333,385,0,350,400
990,1054,425,1,1100,450
991,380,770,1,400,800
992,414,352,1,450,400
993,725,298,0,750,300
994,471,345,0,500,350
995,495,797,1,500,800
996,974,390,0,1000,400
997,2098,782,1,2100,800
998,780,927,0,800,950
999,956,770,1,1000,800
1000,274,149,0,300,150
1001,105,437,0,150,450
1002,108,977,0,150,1000
1003,814,564,1,850,600
1004,159,772,0,200,800
1005,436,391,0,450,400
1006,357,557,0,400,600
1007,85,496,1,100,500
1008,474,397,1,500,400
1009,1041,424,1,1050,450
1010,395,703,1,400,750
1011,356,73,0,400,100
1012,727,174,1,750,200
1013,499,2109,0,500,2150
1014,349,390,1,350,400
1015,502,2177,1,550,2200
1016,2925,1265,0,2950,1300
1017,95,142,1,100,150
1018,1937,1938,1,1950,1950
1019,721,345,0,750,350
1020,268,852,1,300,900
1021,777,394,0,800,400
1022,396,96,1,400,100
1023,349,375,0,350,400
1024,1426,1461,1,1450,1500
1025,102,600,1,150,600
1026,249,300,0,250,300
1027,158,233,1,200,250
1028,396,313,0,400,350
1029,139,322,1,150,350
1030,755,424,1,800,450
1031,719,810,0,750,850
1032,406,266,0,450,300
1033,266,1052,0,300,1100
1034,1098,439,1,1100,450
1035,2210,640,0,2250,650
1036,659,123,0,700,150
1037,143,634,0,150,650
1038,890,406,0,900,450
1039,800,282,1,800,300
1040,499,683,1,500,700
1041,216,427,1,250,450
1042,207,630,0,250,650
1043,1031,895,1,1050,900
1044,290,739,0,300,750
1045,239,1298,1,250,1300
1046,860,1140,1,900,1150
1047,238,766,0,250,800
1048,780,349,1,800,350
1049,731,860,1,750,900
1050,463,1060,0,500,1100
1051,780,421,0,800,450
1052,442,606,0,450,650
1053,501,725,0,550,750
1054,1094,322,1,1100,350
1055,326,941,0,350,950
1056,282,504,0,300,550
1057,524,529,0,550,550
1058,102,566,1,150,600
1059,435,252,1,450,300
1060,96,155,1,100,200
1061,557,103,1,600,150
1062,95,322,1,100,350
1063,199,522,1,200,550
1064,665,350,0,700,350
1065,423,711,0,450,750
1066,1382,374,1,1400,400
1067,344,513,0,350,550
1068,454,483,0,500,500
1069,372,397,1,400,400
1070,513,2567,0,550,2600
1071,672,1848,0,700,1850
1072,668,999,0,700,1000
1073,517,599,0,550,600
1074,165,643,1,200,650
1075,597,942,1,600,950
1076,664,332,0,700,350
1077,219,411,0,250,450
1078,632,277,0,650,300
1079,408,477,1,450,500
1080,732,475,0,750,500
1081,142,1310,0,150,1350
1082,154,747,0,200,750
1083,103,895,1,150,900
1084,501,464,1,550,500
1085,516,148,0,550,150
1086,942,1651,0,950,1700
1087,540,529,0,550,550
1088,635,1060,0,650,1100
1089,3000,128,0,3000,150
1090,445,564,1,450,600
1091,218,220,1,250,250
1092,426,478,1,450,500
1093,871,597,0,900,600
1094,1436,1391,1,1450,1400
1095,410,444,1,450,450
